# P CFF_tot CFF_2 CFF_6 CFF_10
2.2832864e-09 1.0765678927067312e-05 5.826883478250847e-39 0. 0.
3.0595875e-09 1.276997534742434e-05 7.808198995138207e-39 0. 0.
4.0997956e-09 1.5147420936344796e-05 1.0463216774719008e-38 0. 0.
5.4936002e-09 1.7967486606706317e-05 1.402101688604568e-38 0. 0.
7.361156e-09 2.131257699372238e-05 1.8788576178504003e-38 0. 0.
9.863408e-09 2.5280438386068188e-05 2.5177238809804206e-38 0. 0.
1.321591e-08 2.998701495272191e-05 3.3738225149066954e-38 0. 0.
1.7707311e-08 3.556983672681562e-05 4.521019885319486e-38 0. 0.
2.3724045e-08 4.219203834616684e-05 6.058297550025455e-38 0. 0.
3.3841197e-08 5.004712598138997e-05 8.657394104154016e-37 0. 0.
5.0340205e-08 5.93646317451423e-05 3.245852143307273e-35 0. 0.
7.469418e-08 7.041682080898748e-05 1.2818231413129406e-33 0. 0.
1.1052429e-07 8.352664721533963e-05 2.690740364494802e-32 0. 0.
1.6308582e-07 9.907719085984847e-05 4.413057348777943e-31 0. 0.
2.40058e-07 0.0001175228514006017 1.4259090284062076e-29 0. 0.
3.52477e-07 0.00013940262618936588 2.241138713182831e-28 0. 0.
5.161215e-07 0.00016535586021692268 2.7326555831793892e-27 0. 0.
7.537826e-07 0.0001961409282988404 4.9510651452340427e-26 0. 0.
1.0981468e-06 0.00023265739541049346 6.025708601111975e-25 0. 0.
1.5947206e-06 0.00027597230271452086 5.694377850411127e-24 0. 0.
2.3091548e-06 0.00032735134738003726 6.363487855839507e-23 0. 0.
3.3324952e-06 0.00038829586729352376 6.143070147718915e-22 0. 0.
4.789546e-06 0.0004605867113850298 4.63800331017196e-21 0. 0.
6.854584e-06 0.0005463362774966493 3.500939514406401e-20 0. 0.
9.754666e-06 0.0006480502383825336 2.727073600389257e-19 0. 0.
1.37953875e-05 0.0007687007595248602 1.686236940203516e-18 0. 0.
1.9359508e-05 0.0009118133482504748 9.311357915730781e-18 0. 0.
2.7031836e-05 0.0010815698719507426 6.084370670770138e-17 0. 0.
3.7718462e-05 0.0012829307556815948 3.4131113200273227e-16 0. 0.
5.208669e-05 0.0015217799298580196 1.6907978296398568e-15 0. 0.
7.1203634e-05 0.0018050967635336887 9.093683041284072e-15 0. 0.
9.630311e-05 0.0021411600072973763 4.3098330622642206e-14 0. 0.
0.0001288862 0.002539789705165101 1.8280734185530806e-13 0. 0.
0.00017181927 0.003012634144332184 7.858294093568419e-13 0. 0.
0.00022926676 0.0035735102276926974 3.201772614397358e-12 0. 0.
0.0003074026 0.0042388072150908555 1.1836717370150573e-11 0. 0.
0.00041600692 0.005027965630955347 4.2322194360178145e-11 0. 0.
0.0005572408 0.00596404533239106 1.4426482231044702e-10 0. 0.
0.0007301259 0.007074399337144454 4.4220541117745427e-10 0. 0.
0.0009352757 0.008391473101249117 1.2744350019744388e-09 0. 0.
0.0011761856 0.009953752601900871 3.7635232708055355e-09 0. 0.
0.0014486698 0.011806888929322813 1.0376393966282649e-08 0. 0.
0.0017759784 0.014005032249118183 2.7118714385210296e-08 0. 0.
0.0022034247 0.01661241411458673 6.99232458600818e-08 0. 0.
0.0027748076 0.019705224365470266 1.7550819109146687e-07 0. 0.
0.0035171828 0.023373837457650152 4.205145103242103e-07 0. 0.
0.0044753132 0.027725453278979247 9.702743000161718e-07 0. 0.
0.0057349303 0.03288722961805606 2.230493009847123e-06 0. 0.
0.007347661 0.03900999781925165 4.9536274673300795e-06 0. 0.
0.009399884 0.046272670198480866 1.0643057066772599e-05 0. 0.
0.012000482 0.05488746800802696 2.222520015493501e-05 0. 0.
0.015293244 0.06510612271584641 4.588229057844728e-05 0. 0.
0.019321235 0.0772272318058278 9.270160080632195e-05 0. 0.
0.024003964 0.09160498404153077 0.00018265293329022825 0. 0.
0.02916867 0.10865950915277871 0.0003520904865581542 0. 0.
0.034582082 0.12888915437144713 0.000664892082568258 0. 0.
