# P CFF_tot CFF_2 CFF_6 CFF_10
4.3757507e-05 6.594661672146034e-06 6.140543185040315e-09 5.931179484185145e-14 5.610512289422331e-06
5.307366e-05 7.819951421002389e-06 3.2731087173942797e-08 1.297722102304097e-13 1.033976241160417e-05
6.1660525e-05 9.272900304366537e-06 1.6307718908592506e-07 2.789402823305531e-13 1.8696311599342152e-05
7.2919676e-05 1.0995807445015935e-05 7.610063335050654e-07 5.891890165858615e-13 3.320376345072873e-05
8.895077e-05 1.3038831153067969e-05 3.3310498110949993e-06 1.2240615422307033e-12 5.7998964621219784e-05
0.0001081999 1.5461449164906634e-05 1.3685228623216972e-05 2.502828022957204e-12 9.975040302379057e-05
0.00012885629 1.8334190194858324e-05 5.2779203542741016e-05 5.039408560586489e-12 0.00016905633674468845
0.00015297519 2.1740687209591782e-05 0.00019129594147671014 9.997683236839805e-12 0.0002829167933668941
0.00022972515 2.578011220140286e-05 0.0006918658618815243 1.95551005943706e-11 0.000553435820620507
0.00032043847 3.057006334297009e-05 0.0023024773690849543 3.7730308460881545e-11 0.0010865526273846626
0.00041768054 3.6249988576168806e-05 0.006978978402912617 7.184475930843703e-11 0.002033461816608906
0.00053864886 4.2985245304522805e-05 0.01911754719913006 1.3507696350334442e-10 0.003659370820969343
0.0007280065 5.097191437750469e-05 0.05263170599937439 2.5099736178368914e-10 0.0067259399220347404
0.00092911813 6.044250851429475e-05 0.11593588441610336 4.608822490315134e-10 0.01186941284686327
0.001197798 7.167274135406799e-05 0.19586285948753357 8.339138823920678e-10 0.020031824707984924
0.0015246619 8.498955419747717e-05 0.24264636635780334 1.4891899935420838e-09 0.032336678355932236
0.0018914569 0.00010078063411866321 0.2076643407344818 2.6249449280868475e-09 0.049732256680727005
0.0022811051 0.00011950570054480123 0.11357284337282181 4.570009703996902e-09 0.07241341471672058
0.0026699232 0.000141709888884882 0.036029983311891556 7.870306184543097e-09 0.09894949197769165
0.0030058937 0.00016803962083998845 0.005869663320481777 1.3402929432970723e-08 0.125037282705307
0.0032198946 0.00019926142342109696 0.0004222121788188815 2.2603250826591648e-08 0.14351195096969604
0.0038485175 0.00023628424454498088 1.1097661626990885e-05 3.8062893281676224e-08 0.1557202935218811
0.0039056395 0.00028018591487328126 5.430828053931691e-08 6.365050353451807e-08 0.1385442018508911
0.003409474 0.0003322445262677384 2.0503919742620447e-11 1.0558547103300953e-07 0.08955986797809601
0.0028482485 0.0003939756403700664 2.788908124300599e-16 1.7365633198096475e-07 0.03763968124985695
0.0027287113 0.0004671764105450541 5.199119377858069e-23 2.851758722499653e-07 0.009028587490320206
0.002997683 0.0005539779016914657 9.925428345174053e-33 4.689116224199097e-07 0.0008642150205560029
0.003379175 0.000656907131086583 0.0 7.655602303202613e-07 1.822677586460486e-05
0.0038342127 0.0007789606364348108 0.0 1.2411212537699612e-06 4.5559342964907046e-08
0.004487913 0.0009236917128776752 0.0 1.9934050214942545e-06 5.585352926690268e-12
0.0054422836 0.0010953138586615812 0.0 3.1750778362038545e-06 1.0074313743983354e-17
0.006731824 0.001298823441035895 0.0 5.016561772208661e-06 5.302152929632103e-26
0.008423115 0.0015401451535048435 0.0 7.86149666964775e-06 9.433392163678064e-38
0.010728747 0.0018263044990723283 0.0 1.2302794857532717e-05 0.0
0.013897602 0.0021656323209157426 0.0 1.9406879800953902e-05 0.0
0.017376952 0.002568007334908924 0.0 3.131941775791347e-05 0.0
0.02096764 0.0030451437247470824 0.0 5.000723831471987e-05 0.0
0.024404977 0.0036109321723161686 0.0 7.89682671893388e-05 0.0
0.027315382 0.004281844251588132 0.0 0.00012359047832433134 0.0
0.029465199 0.005077411959000654 0.0 0.00020790916460100561 0.0
0.03093534 0.006020796340698529 0.0 0.0003424940223339945 0.0
0.032132383 0.007139461770855325 0.0 0.0005517152603715658 0.0
0.03349278 0.00846597551107183 0.0 0.0008725407533347607 0.0
0.03509813 0.010038955828105984 0.0 0.0013571279123425484 0.0
0.03668449 0.0119041962721085 0.0 0.0020730087999254465 0.0
0.03820587 0.014115998846029166 0.0 0.003123854985460639 0.0
0.039679736 0.016738754878224398 0.0 0.004654504358768463 0.0
0.040923044 0.01984881962158118 0.0 0.006852871738374233 0.0
0.041797653 0.02353673515361603 0.0 0.010393105447292328 0.0
0.04212507 0.02790986629195506 0.0 0.01601002737879753 0.0
0.041757934 0.03309552626355379 0.0 0.02396344393491745 0.0
0.0404125 0.039244683124021316 0.0 0.0348520427942276 0.0
0.04863628 0.046536354830559595 0.0 0.07672392576932907 0.0
0.049309835 0.055182820920528244 0.0 0.15085966885089874 0.0
0.04205975 0.06543580252115917 0.0 0.22155840694904327 0.0
0.031889446 0.07759379060658489 0.0 0.23012594878673553 0.0
0.022576893 0.09201073584681217 0.0 0.15197545289993286 0.0
0.015732428 0.10910635303275662 0.0 0.054324813187122345 0.0
0.011832025 0.12937834006596477 0.0 0.008417215198278427 0.0
0.009840507 0.15341686723960987 0.0 0.00041866194806061685 0.0
0.008698654 0.18192175863143437 0.0 4.403764705784852e-06 0.0
