# P CFF_tot CFF_2 CFF_6 CFF_10
1.3633289e-06 1.8489364057730425e-06 1.5795374274579313e-21 6.405631775875664e-13 1.3346242155876098e-07
1.8146129e-06 2.1852069935798878e-06 2.1024853122146994e-21 8.526638054472124e-13 1.776459299662747e-07
2.4152182e-06 2.5826359359255322e-06 2.7985400262195994e-21 1.1349937916599329e-12 2.364529620990652e-07
3.214498e-06 3.05234625238266e-06 3.724974436291713e-21 1.5108033097135931e-12 3.147200686726137e-07
4.2780975e-06 3.6074839333077074e-06 4.958008712233826e-21 2.0110467111034147e-12 4.188826494555542e-07
5.6932804e-06 4.263585862486789e-06 6.599042959072401e-21 2.6769244373253676e-12 5.574997885560151e-07
7.5759826e-06 5.039014654773427e-06 8.78293427384129e-21 3.563267302747475e-12 7.419504868266813e-07
1.0080193e-05 5.955472578711327e-06 1.1689044332351688e-20 4.743065315504502e-12 9.873620001599193e-07
1.3410273e-05 7.038608947521963e-06 1.5555835815050063e-20 6.31347404911331e-12 1.3138335361873033e-06
1.7837101e-05 8.318737977777133e-06 2.0700164132983974e-20 8.403790684174961e-12 1.748049271554919e-06
2.3719265e-05 9.831687206784646e-06 2.754281380193716e-20 1.1186081574909856e-11 2.3254065126820933e-06
3.15307e-05 1.1619800213719694e-05 3.6642336914948915e-20 1.4889386598659904e-11 3.092821089012432e-06
4.189613e-05 1.373312170810172e-05 4.873920390750912e-20 1.9818473251387303e-11 4.1123666960629635e-06
5.5636232e-05 1.6230798153212067e-05 6.481364642371299e-20 2.6378798451132113e-11 5.465994490805315e-06
7.382476e-05 1.918273312431937e-05 8.61613556514196e-20 3.5109876811434404e-11 7.261641712830169e-06
9.785815e-05 2.267154373095551e-05 1.1449070189362105e-19 4.6729387720434445e-11 9.64093669608701e-06
0.00012953782 2.6794872858497626e-05 1.5204648531172432e-19 6.219166154286526e-11 1.2788764252036344e-05
0.00017116273 3.166812194278371e-05 2.017656752940843e-19 8.276540564011725e-11 1.6944868548307568e-05
0.0002256245 3.742768076113383e-05 2.674689027678098e-19 1.1013696898931613e-10 2.2417334548663348e-05
0.0002964856 4.42347446333665e-05 3.5408456152128e-19 1.4654601143693213e-10 2.9596885724458843e-05
0.00038800936 5.227982586650317e-05 4.678975569239758e-19 1.9496457226431119e-10 3.896999987773597e-05
0.00055913825 6.178808570695898e-05 4.079235814131274e-18 4.1970263375823436e-10 6.652912270510569e-05
0.0009514213 7.302563602792401e-05 1.0456675996902521e-16 1.632213586511e-09 0.0001658720284467563
0.0015887092 8.630698712004647e-05 2.6725401439684025e-15 5.970434813207248e-09 0.00039630854735150933
0.0026092995 0.00010200385003002931 1.0367486085122515e-13 2.2748974259911847e-08 0.0009406027384102345
0.004153927 0.00012055553980208392 1.9680886694656285e-12 7.802889712138494e-08 0.002108674729242921
0.0063716746 0.00014248127078236002 2.8535295654164017e-11 2.484114247636171e-07 0.004485794343054295
0.009407427 0.00016839468810047394 6.474006886136863e-10 8.015824164431251e-07 0.009284870699048042
0.013223603 0.0001990210420271365 9.408689827239414e-09 2.450119836794329e-06 0.01822003535926342
0.017563889 0.00023521748587422204 9.945075873929454e-08 6.995373041718267e-06 0.03341245651245117
0.022014203 0.00027799706552358405 1.0933414387181983e-06 1.936626540555153e-05 0.057305220514535904
0.02603873 0.00032855707199017125 1.2039300600008573e-05 5.3096744522918016e-05 0.09131018817424774
0.02897359 0.00038831255053516604 8.952222560765222e-05 0.000136736809508875 0.13029064238071442
0.030390287 0.00045893590416351375 0.000520197325386107 0.0003344812721479684 0.16272187232971191
0.030260528 0.0005424036999064432 0.0035721505992114544 0.000816285377368331 0.17450903356075287
0.02884004 0.0006410519878771097 0.016197465360164642 0.0018903318559750915 0.15135549008846283
0.026745904 0.0007576416813382288 0.05183994024991989 0.004148783162236214 0.09993003308773041
0.024554573 0.0008954358276025787 0.1403476893901825 0.008805578574538231 0.046780265867710114
0.022413146 0.0010582909323812288 0.26747778058052063 0.017936455085873604 0.01402120478451252
0.020281352 0.0012507648935144125 0.2890358865261078 0.03421549126505852 0.0023452825844287872
